title,content,source,topic,publication_date,label
"BMKG Mengeluarkan Informasi Cuaca Harian","BMKG menyampaikan prakiraan cuaca harian melalui kanal resmi untuk membantu masyarakat mempersiapkan aktivitas. Informasi tersebut mencakup potensi hujan, suhu udara, kelembapan, dan arah angin di beberapa wilayah Indonesia. Masyarakat diimbau mengikuti pembaruan informasi dari aplikasi Info BMKG dan situs resmi BMKG sebelum melakukan perjalanan atau aktivitas luar ruangan.","BMKG","Weather","2026-06-01","Tidak Hoax"
"Kementerian Kesehatan Mengimbau Masyarakat Menjaga Pola Hidup Sehat","Kementerian Kesehatan mengimbau masyarakat menjaga pola hidup sehat dengan makan bergizi, berolahraga, tidur cukup, dan melakukan pemeriksaan kesehatan berkala. Imbauan ini disampaikan sebagai bagian dari upaya pencegahan penyakit tidak menular. Masyarakat juga diharapkan tidak mudah percaya pada klaim kesehatan yang tidak didukung tenaga medis atau sumber resmi.","Kemenkes","Health","2026-06-02","Tidak Hoax"
"Bank Indonesia Merilis Informasi Nilai Tukar Rupiah","Bank Indonesia merilis informasi nilai tukar rupiah melalui kanal resmi sebagai acuan masyarakat dan pelaku usaha. Informasi tersebut digunakan untuk memantau perkembangan ekonomi dan transaksi keuangan. Masyarakat diimbau merujuk pada sumber resmi agar tidak keliru menerima informasi nilai tukar yang beredar di media sosial.","Bank Indonesia","Economy","2026-06-03","Tidak Hoax"
"Kominfo Mengingatkan Masyarakat Waspada Penipuan Digital","Kominfo mengingatkan masyarakat agar tidak sembarangan membuka tautan mencurigakan yang dikirim melalui pesan singkat atau media sosial. Masyarakat diminta memeriksa alamat situs, identitas pengirim, serta tidak membagikan data pribadi seperti OTP dan kata sandi. Imbauan ini diberikan untuk mengurangi risiko penipuan digital yang semakin sering terjadi.","Kominfo","Technology","2026-06-04","Tidak Hoax"
"Kampus Mengumumkan Jadwal Ujian Akhir Semester","Pihak kampus mengumumkan jadwal ujian akhir semester melalui portal akademik resmi. Mahasiswa diminta memeriksa jadwal, ruang ujian, serta ketentuan pelaksanaan ujian sesuai mata kuliah masing-masing. Informasi resmi hanya mengacu pada sistem akademik kampus dan pengumuman dari fakultas atau departemen terkait.","Academic Portal","Education","2026-06-05","Tidak Hoax"
"BMKG Memberikan Peringatan Dini Hujan Lebat","BMKG memberikan peringatan dini terkait potensi hujan lebat di beberapa wilayah Indonesia. Masyarakat diimbau waspada terhadap kemungkinan banjir, genangan, tanah longsor, dan pohon tumbang di daerah rawan. Informasi ini diperbarui secara berkala melalui kanal resmi BMKG agar masyarakat dapat mengambil langkah antisipasi.","BMKG","Weather","2026-06-06","Tidak Hoax"
"Kemenkes Menjelaskan Pentingnya Vaksinasi","Kementerian Kesehatan menjelaskan bahwa vaksinasi merupakan salah satu upaya pencegahan penyakit yang direkomendasikan oleh tenaga kesehatan. Vaksin bekerja dengan membantu tubuh membentuk perlindungan terhadap penyakit tertentu. Masyarakat diminta berkonsultasi dengan tenaga medis dan tidak mudah percaya pada klaim yang tidak memiliki dasar ilmiah.","Kemenkes","Health","2026-06-07","Tidak Hoax"
"Bank Indonesia Mengedukasi Masyarakat Tentang Uang Rupiah","Bank Indonesia memberikan edukasi mengenai ciri keaslian uang rupiah agar masyarakat dapat mengenali uang asli dengan benar. Edukasi tersebut mencakup metode dilihat, diraba, dan diterawang. Masyarakat juga diimbau berhati-hati terhadap peredaran uang palsu serta melapor kepada pihak berwenang jika menemukan dugaan pelanggaran.","Bank Indonesia","Economy","2026-06-08","Tidak Hoax"
"Kominfo Menyediakan Kanal Aduan Konten Negatif","Kominfo menyediakan kanal resmi bagi masyarakat untuk melaporkan konten negatif atau informasi yang merugikan di ruang digital. Laporan dapat berkaitan dengan penipuan, penyebaran hoaks, ujaran kebencian, atau konten yang melanggar aturan. Masyarakat diharapkan aktif memeriksa kebenaran informasi sebelum ikut menyebarkannya.","Kominfo","Technology","2026-06-09","Tidak Hoax"
"Sekolah Mengumumkan Jadwal Penerimaan Peserta Didik Baru","Sekolah mengumumkan jadwal penerimaan peserta didik baru melalui situs dan papan pengumuman resmi. Informasi tersebut mencakup jadwal pendaftaran, persyaratan dokumen, jalur penerimaan, dan mekanisme seleksi. Orang tua dan calon peserta didik diminta mengikuti informasi resmi agar tidak tertipu oleh pihak yang mengatasnamakan sekolah.","School Website","Education","2026-06-10","Tidak Hoax"
"BMKG Mengimbau Nelayan Memperhatikan Tinggi Gelombang","BMKG mengimbau nelayan dan operator transportasi laut untuk memperhatikan informasi tinggi gelombang sebelum beraktivitas. Kondisi cuaca laut dapat berubah dan berdampak pada keselamatan pelayaran. Masyarakat pesisir diharapkan mengikuti pembaruan prakiraan cuaca maritim dari kanal resmi BMKG.","BMKG","Weather","2026-06-11","Tidak Hoax"
